"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.75481139898452e-06,0.914426444030806,0.311,0.29,0.0381548642481204,"T_cells","ABHD5"
1.86753191658384e-06,0.280494582080757,0.216,0.288,0.0406057464622823,"T_cells","NSD1"
1.88143430686392e-06,0.611689138810334,0.389,0.369,0.0409080261341421,"T_cells","FAM241A"
2.17309898846976e-06,0.656782064628576,0.385,0.373,0.047249691306298,"T_cells","CCNT1"
2.8137637808797e-06,0.80052156424612,0.267,0.243,0.0611796658876673,"T_cells","WDR47"
2.90226474791774e-06,0.647427086121803,0.409,0.399,0.0631039424139755,"T_cells","JAK3"
2.91410873175613e-06,0.728607405723592,0.451,0.455,0.0633614661545735,"T_cells","ATM"
3.0086197699012e-06,0.587296571602108,0.418,0.411,0.0654164196569619,"T_cells","TRAF3IP3"
3.18631420682184e-06,0.524840689085098,0.544,0.559,0.0692800297989273,"T_cells","ATF4"
3.22013566860441e-06,0.326265546641117,0.19,0.255,0.0700154098424657,"T_cells","ARFGEF1"
3.23418372611722e-06,0.476366776584327,0.558,0.582,0.0703208567569667,"T_cells","AL138963.4"
4.30096703081579e-06,0.341104111286324,0.322,0.422,0.0935159261510276,"T_cells","P4HA1"
4.39402359687846e-06,0.312034864670182,0.88,0.938,0.0955392550669284,"T_cells","SF1"
4.50391200752612e-06,0.578520181892388,0.363,0.35,0.0979285587796404,"T_cells","NDUFA12"
4.73743047610083e-06,0.827986313422579,0.446,0.463,0.10300595084186,"T_cells","ZSWIM6"
5.39418514184591e-06,0.685479520499575,0.424,0.429,0.117285767539156,"T_cells","KDM2A"
6.05092679856525e-06,0.362537748081913,0.205,0.272,0.131565301381204,"T_cells","LEMD3"
6.44686381484077e-06,0.545475510383255,0.369,0.357,0.140174159926083,"T_cells","CLTB"
7.43047211060807e-06,0.328895927594556,0.204,0.27,0.161560755100951,"T_cells","FBXW7"
8.03021625683899e-06,0.667311009898874,0.396,0.391,0.17460099207245,"T_cells","PAXX"
8.03949039280936e-06,0.532988893369601,0.367,0.354,0.174802639610854,"T_cells","MZT2A"
8.86664999763951e-06,0.655135372497713,0.287,0.263,0.192787570898676,"T_cells","SVIP"
9.13584050150959e-06,0.265684771755904,0.323,0.284,0.198640580024323,"T_cells","CSTB"
9.37196009992652e-06,0.427770393106148,0.415,0.408,0.203774528452702,"T_cells","ALKBH7"
1.03847401775703e-05,0.255948305821015,0.266,0.339,0.22579540568091,"T_cells","ARL5B"
1.54524967686932e-05,0.283744553551407,0.216,0.282,0.335983637241695,"T_cells","AEBP2"
1.62679073785884e-05,0.381561483869624,0.71,0.765,0.353713110132648,"T_cells","DYNLL1"
1.74145008068462e-05,0.374012065000991,0.272,0.353,0.378643491043257,"T_cells","SLC4A7"
1.82141339027434e-05,0.651363266293833,0.258,0.231,0.396029913447349,"T_cells","RGS14"
1.8634357875775e-05,0.261706481272349,0.19,0.25,0.405166843292977,"T_cells","SMIM10L1"
1.99547626801347e-05,1.01598210518277,0.283,0.261,0.433876404954168,"T_cells","AC044849.1"
2.14470226986902e-05,0.518813683326136,0.629,0.677,0.466322614537621,"T_cells","RBBP6"
2.18360865338735e-05,0.366278232641587,0.223,0.291,0.474782029506012,"T_cells","USP9Y"
2.40298574203349e-05,0.40174696475866,0.793,0.791,0.522481189890342,"T_cells","NEAT1"
2.46560746090542e-05,0.552884201964414,0.539,0.563,0.536097030224666,"T_cells","IKZF1"
2.77380579611938e-05,0.915470595898781,0.28,0.264,0.603108594250238,"T_cells","IFFO2"
2.91495482398859e-05,0.632599760541459,0.427,0.44,0.633798627379838,"T_cells","HBP1"
2.96489504098927e-05,0.341913235310284,0.225,0.293,0.644657128762296,"T_cells","MAN2A1"
3.00269981968751e-05,0.405597065047025,0.729,0.793,0.652877021794656,"T_cells","IDS"
3.11284198483948e-05,0.297922966076637,0.204,0.263,0.676825232763649,"T_cells","LRBA"
3.18429696501116e-05,0.5080692851656,0.575,0.598,0.692361689102377,"T_cells","ARHGAP9"
3.69172588085471e-05,0.421435163020403,0.261,0.333,0.80269195827424,"T_cells","POLR2J3"
3.73640543982278e-05,0.731291983541784,0.507,0.54,0.812406634780667,"T_cells","TGFBR2"
3.87438456442513e-05,0.35889701625819,0.5,0.505,0.842407435842956,"T_cells","NSMCE3"
4.04604808256324e-05,0.6149391242622,0.367,0.358,0.879732234591725,"T_cells","EHD1"
4.45367380377124e-05,0.307412565333043,0.219,0.284,0.968362295153982,"T_cells","MOGS"
